;MSCI WORLD U$ - PRICE INDEX;MSCI EM U$ - PRICE INDEX;FTSE 100 - DIVIDEND YIELD;FTSE 100 - PER;FTSE 100 - PRICE INDEX;STOXX EUROPE 600 E - DIVIDEND YIELD;STOXX EUROPE 600 E - PER;STOXX EUROPE 600 E - PRICE INDEX;NASDAQ COMPOSITE - PRICE INDEX;S&P 500 COMPOSITE - PRICE INDEX;DAX PERFORMANCE - PRICE INDEX;S&P SMALLCAP 600 VALUE - PRICE INDEX;HANG SENG - DIVIDEND YIELD;HANG SENG - PER;HANG SENG - PRICE INDEX;S&P 500 VALUE - PRICE INDEX;S&P 500 GROWTH - PRICE INDEX;Yield
ISIN;NA;NA;GB0001383545;GB0001383545;GB0001383545;NA;NA;NA;XC0009694271;US78378X1072;DE0008469008;NA;HK0000004322;HK0000004322;HK0000004322;US78381T1016;US78381J1034;8.834
01.01.70;100;NA;NA;NA;NA;NA;NA;NA;NA;92,06;622,38;NA;NA;NA;155;NA;NA;1
02.01.70;100;NA;NA;NA;NA;NA;NA;NA;NA;93;629,11;NA;NA;NA;155,38;NA;NA;8.819
05.01.70;100;NA;NA;NA;NA;NA;NA;NA;NA;93,46;628,48;NA;NA;NA;154,75;NA;NA;8.757
06.01.70;100;NA;NA;NA;NA;NA;NA;NA;NA;92,82;622,38;NA;NA;NA;155,45;NA;NA;8.809
07.01.70;100,67;NA;NA;NA;NA;NA;NA;NA;NA;92,63;623,39;NA;NA;NA;155,73;NA;NA;8.833
08.01.70;100,67;NA;NA;NA;NA;NA;NA;NA;NA;92,68;623,83;NA;NA;NA;156,96;NA;NA;8.959
09.01.70;100,67;NA;NA;NA;NA;NA;NA;NA;NA;92,4;618,7;NA;NA;NA;156,23;NA;NA;8.935
12.01.70;100,67;NA;NA;NA;NA;NA;NA;NA;NA;91,7;612,9;NA;NA;NA;156,68;NA;NA;8.935
13.01.70;100,67;NA;NA;NA;NA;NA;NA;NA;NA;91,79;607,28;NA;NA;NA;156,78;NA;NA;8.867
14.01.70;99,768;NA;NA;NA;NA;NA;NA;NA;NA;91,65;602,11;NA;NA;NA;156,23;NA;NA;8.867
15.01.70;99,768;NA;NA;NA;NA;NA;NA;NA;NA;91,68;591,7;NA;NA;NA;156,88;NA;NA;8.595
16.01.70;99,768;NA;NA;NA;NA;NA;NA;NA;NA;90,92;581,77;NA;NA;NA;157,84;NA;NA;1
