Date,Open,High,Low,Close,Adj Close,Volume
1987-12-31,4.734375,4.734375,4.679688,4.679688,2.051233,5840000
1988-01-04,4.742188,4.882813,4.742188,4.882813,2.140266,7920000
1988-01-05,4.984375,4.992188,4.906250,4.906250,2.150540,8328000
1988-01-06,4.921875,4.929688,4.851563,4.875000,2.136842,8532800
1988-01-07,4.835938,4.867188,4.812500,4.851563,2.126571,7608000
1988-01-08,4.835938,4.867188,4.515625,4.531250,1.986168,12550400
1988-01-11,4.578125,4.601563,4.375000,4.515625,1.979318,11457600
1988-01-12,4.531250,4.531250,4.414063,4.484375,1.965622,9390400
1988-01-13,4.453125,4.531250,4.351563,4.468750,1.958772,10668800
1988-01-14,4.492188,4.515625,4.453125,4.515625,1.979318,5537600
1988-01-15,4.625000,4.695313,4.601563,4.617188,2.023837,11953600
1988-01-18,4.640625,4.664063,4.593750,4.640625,2.034111,5019200
1988-01-19,4.625000,4.726563,4.554688,4.640625,2.034111,7331200
1988-01-20,4.593750,4.617188,4.414063,4.484375,1.965622,13860800
1988-01-21,4.515625,4.812500,4.445313,4.671875,2.047807,27886400
1988-01-22,4.796875,4.992188,4.781250,4.992188,2.188209,36768000
1988-01-25,4.992188,4.992188,4.875000,4.921875,2.157389,19680000
1988-01-26,4.882813,4.914063,4.812500,4.851563,2.126571,8484800
1988-01-27,4.867188,4.875000,4.695313,4.710938,2.064929,13393600
1988-01-28,4.734375,4.843750,4.726563,4.796875,2.102598,7800000
1988-01-29,4.851563,4.921875,4.820313,4.898438,2.147117,8460800
1988-02-01,4.937500,4.945313,4.851563,4.859375,2.129994,5305600
1988-02-02,4.843750,4.906250,4.820313,4.851563,2.126571,5281600
1988-02-03,4.890625,4.906250,4.750000,4.765625,2.088902,8724800
1988-02-04,4.773438,4.843750,4.757813,4.835938,2.119721,5814400
1988-02-05,4.843750,4.906250,4.820313,4.820313,2.112872,4468800
1988-02-08,4.781250,4.804688,4.765625,4.796875,2.102598,4276800
1988-02-09,4.812500,4.875000,4.796875,4.867188,2.133420,4419200
1988-02-10,4.875000,4.992188,4.835938,4.992188,2.188209,12369600
1988-02-11,4.992188,5.007813,4.906250,4.929688,2.160814,7953600
1988-02-12,4.953125,5.023438,4.937500,4.984375,2.184785,9667200
1988-02-16,4.992188,5.132813,4.937500,5.125000,2.246424,12385600
1988-02-17,5.093750,5.156250,5.046875,5.062500,2.230453,11236800
1988-02-18,5.000000,5.046875,4.945313,4.968750,2.189148,5707200
1988-02-19,4.984375,5.054688,4.953125,5.054688,2.227011,7992000
1988-02-22,5.054688,5.156250,5.023438,5.156250,2.271757,10097600
1988-02-23,5.171875,5.203125,5.109375,5.125000,2.257989,7348800
1988-02-24,5.117188,5.156250,5.093750,5.132813,2.261432,6128000
1988-02-25,5.117188,5.203125,5.015625,5.046875,2.223569,8899200
1988-02-26,5.062500,5.109375,5.031250,5.078125,2.237338,3881600
1988-02-29,5.125000,5.218750,5.078125,5.203125,2.292410,5969600
1988-03-01,5.210938,5.210938,5.148438,5.187500,2.285525,5364800
1988-03-02,5.218750,5.265625,5.195313,5.203125,2.292410,5024000
1988-03-03,5.203125,5.210938,5.156250,5.171875,2.278642,3971200
1988-03-04,5.148438,5.195313,5.070313,5.125000,2.257989,4857600
1988-03-07,5.125000,5.164063,5.101563,5.156250,2.271757,2640000
1988-03-08,5.179688,5.242188,5.156250,5.218750,2.299294,4924800
1988-03-09,5.281250,5.406250,5.281250,5.328125,2.347483,16800000
1988-03-10,5.328125,5.367188,5.226563,5.257813,2.316506,9288000
1988-03-11,5.250000,5.257813,5.062500,5.242188,2.309621,14360000
1988-03-14,5.234375,5.281250,5.195313,5.281250,2.326831,3795200
1988-03-15,5.281250,5.304688,5.242188,5.257813,2.316506,4475200
1988-03-16,5.226563,5.328125,5.179688,5.328125,2.347483,4814400
1988-03-17,5.328125,5.414063,5.296875,5.398438,2.378461,7691200
1988-03-18,5.406250,5.414063,5.343750,5.343750,2.354367,13038400
1988-03-21,5.328125,5.335938,5.257813,5.296875,2.333715,4008000
1988-03-22,5.328125,5.328125,5.265625,5.312500,2.340599,4508800
1988-03-23,5.328125,5.328125,5.257813,5.289063,2.330274,4830400
1988-03-24,5.250000,5.250000,5.125000,5.171875,2.278642,6217600
1988-03-25,5.125000,5.156250,5.054688,5.054688,2.227011,5814400
1988-03-28,4.992188,5.039063,4.921875,5.000000,2.202917,7851200
1988-03-29,5.046875,5.070313,5.007813,5.046875,2.223569,5780800
1988-03-30,5.078125,5.109375,4.914063,4.921875,2.168496,7560000
1988-03-31,4.914063,4.984375,4.835938,4.960938,2.185706,8644800
1988-04-04,4.929688,4.953125,4.828125,4.851563,2.137518,8905600
1988-04-05,4.882813,4.960938,4.882813,4.914063,2.165056,5368000
1988-04-06,4.968750,5.125000,4.945313,5.109375,2.251104,8502400
1988-04-07,5.117188,5.132813,5.046875,5.070313,2.233895,5740800
1988-04-08,5.085938,5.218750,5.046875,5.164063,2.275201,8824000
1988-04-11,5.179688,5.179688,5.109375,5.164063,2.275201,4764800
1988-04-12,5.132813,5.257813,5.125000,5.250000,2.313061,6107200
1988-04-13,5.218750,5.257813,5.156250,5.250000,2.313061,4651200
1988-04-14,5.171875,5.171875,4.968750,4.976563,2.192591,10644800
1988-04-15,4.968750,5.007813,4.867188,4.992188,2.199474,12267200
1988-04-18,4.976563,4.976563,4.906250,4.914063,2.165056,5081600
1988-04-19,4.914063,4.953125,4.828125,4.828125,2.127191,8470400
1988-04-20,4.828125,4.875000,4.812500,4.812500,2.120307,5824000
1988-04-21,4.843750,4.914063,4.726563,4.773438,2.103099,9356800
1988-04-22,4.750000,4.859375,4.726563,4.843750,2.134076,8905600
1988-04-25,4.843750,4.960938,4.828125,4.945313,2.178822,7419200
1988-04-26,4.929688,4.968750,4.882813,4.953125,2.182265,5564800
1988-04-27,4.937500,4.953125,4.851563,4.859375,2.140961,5488000
1988-04-28,4.851563,4.945313,4.773438,4.820313,2.123749,10625600
1988-04-29,4.812500,4.843750,4.710938,4.734375,2.085886,5659200
1988-05-02,4.750000,4.781250,4.710938,4.742188,2.089329,3969600
1988-05-03,4.765625,4.812500,4.757813,4.781250,2.106539,5288000
1988-05-04,4.765625,4.765625,4.671875,4.671875,2.058349,7694400
1988-05-05,4.671875,4.679688,4.640625,4.664063,2.054908,7630400
1988-05-06,4.648438,4.687500,4.578125,4.601563,2.027372,6572800
1988-05-09,4.562500,4.570313,4.492188,4.562500,2.010161,10924800
1988-05-10,4.562500,4.617188,4.515625,4.570313,2.013604,6915200
