#NAME?;MSCI PACIFIC U$ - PRICE INDEX;MSCI AC WORLD U$ - PRICE INDEX;MSCI EUROPE U$ - PRICE INDEX;FTSE SMALL CAP - PRICE INDEX
01.01.69;;;;
02.01.69;;;;
03.01.69;;;;
06.01.69;;;;
07.01.69;;;;
08.01.69;;;;
09.01.69;;;;
10.01.69;;;;
13.01.69;;;;
14.01.69;;;;
15.01.69;;;;
16.01.69;;;;
17.01.69;;;;
20.01.69;;;;
21.01.69;;;;
22.01.69;;;;
23.01.69;;;;
24.01.69;;;;
27.01.69;;;;
28.01.69;;;;
29.01.69;;;;
30.01.69;;;;
31.01.69;;;;
03.02.69;;;;
04.02.69;;;;
05.02.69;;;;
06.02.69;;;;
07.02.69;;;;
10.02.69;;;;
11.02.69;;;;
12.02.69;;;;
13.02.69;;;;
14.02.69;;;;
17.02.69;;;;
18.02.69;;;;
19.02.69;;;;
20.02.69;;;;
21.02.69;;;;
24.02.69;;;;
25.02.69;;;;
26.02.69;;;;
27.02.69;;;;
28.02.69;;;;
03.03.69;;;;
04.03.69;;;;
05.03.69;;;;
06.03.69;;;;
07.03.69;;;;
10.03.69;;;;
11.03.69;;;;
12.03.69;;;;
13.03.69;;;;
14.03.69;;;;
17.03.69;;;;
18.03.69;;;;
19.03.69;;;;
20.03.69;;;;
21.03.69;;;;
24.03.69;;;;
25.03.69;;;;
26.03.69;;;;
27.03.69;;;;
28.03.69;;;;
31.03.69;;;;
01.04.69;;;;
02.04.69;;;;
03.04.69;;;;
04.04.69;;;;
07.04.69;;;;
08.04.69;;;;
09.04.69;;;;
10.04.69;;;;
11.04.69;;;;
14.04.69;;;;
15.04.69;;;;
16.04.69;;;;
17.04.69;;;;
18.04.69;;;;
21.04.69;;;;
22.04.69;;;;
23.04.69;;;;
24.04.69;;;;
25.04.69;;;;
28.04.69;;;;
29.04.69;;;;
30.04.69;;;;
01.05.69;;;;
02.05.69;;;;
05.05.69;;;;
06.05.69;;;;
07.05.69;;;;
08.05.69;;;;
09.05.69;;;;
12.05.69;;;;
13.05.69;;;;
14.05.69;;;;
15.05.69;;;;
16.05.69;;;;
19.05.69;;;;
20.05.69;;;;
21.05.69;;;;
22.05.69;;;;
23.05.69;;;;
26.05.69;;;;
27.05.69;;;;
28.05.69;;;;
29.05.69;;;;
30.05.69;;;;
02.06.69;;;;
03.06.69;;;;
04.06.69;;;;
05.06.69;;;;
