Date,Open,High,Low,Close,Adj Close,Volume
1987-12-31,14.613995,14.838825,14.445372,14.613995,2.967268,932257
1988-01-04,14.557787,15.288487,14.529683,15.232279,3.092807,1108834
1988-01-05,15.232279,15.625733,15.232279,15.372798,3.121338,1732860
1988-01-06,15.288487,15.316591,15.007448,15.063656,3.058569,831292
1988-01-07,15.007448,15.147968,14.726410,15.119864,3.069981,1021213
1988-01-08,15.091760,15.147968,13.995710,14.220541,2.887379,1354352
1988-01-11,14.276749,14.557787,14.276749,14.501579,2.944442,1255612
1988-01-12,14.445372,14.557787,14.361060,14.501579,2.944442,1764884
1988-01-13,14.557787,15.176072,14.389164,15.007448,3.047156,1125291
1988-01-14,15.063656,15.147968,14.838825,14.951241,3.035742,1087485
1988-01-15,15.372798,15.597629,15.260383,15.597629,3.166987,2111811
1988-01-18,15.541421,15.541421,15.344695,15.372798,3.121338,764131
1988-01-19,15.457110,15.457110,15.091760,15.147968,3.075686,1213802
1988-01-20,15.091760,15.091760,14.557787,14.810722,3.007212,978514
1988-01-21,14.838825,15.007448,14.782618,14.866929,3.018625,713871
1988-01-22,14.838825,15.372798,14.838825,15.372798,3.121338,938484
1988-01-25,15.429006,15.878667,15.344695,15.878667,3.224050,1362803
1988-01-26,15.681941,15.822460,15.513318,15.681941,3.184106,985631
1988-01-27,15.738148,15.962979,15.625733,15.766252,3.201224,1274292
1988-01-28,15.850564,16.131601,15.822460,16.047291,3.258288,1592754
1988-01-29,16.244017,16.356434,16.103498,16.356434,3.321057,1999727
1988-02-01,16.412640,16.496952,16.272121,16.328329,3.315351,2008623
1988-02-02,16.272121,16.328329,16.075394,16.244017,3.298232,777029
1988-02-03,16.272121,16.468847,16.131601,16.159706,3.281113,1925004
1988-02-04,16.159706,16.244017,15.991083,16.131601,3.275406,1302313
1988-02-05,16.159706,16.328329,16.103498,16.159706,3.281113,871767
1988-02-08,16.103498,16.131601,16.047291,16.075394,3.263994,836185
1988-02-09,16.131601,16.244017,15.991083,16.187811,3.286821,485699
1988-02-10,16.103498,16.525057,16.103498,16.496952,3.349589,985186
1988-02-11,16.496952,16.525057,16.215914,16.244017,3.298232,704085
