date;Yield
12.31.1987;8,834
01.01.88;8,834
01.04.88;8,819
01.05.88;8,757
01.06.88;8,809
01.07.88;8,833
01.08.88;8,959
01.11.88;8,935
01.12.88;8,935
01.13.1988;8,867
01.14.1988;8,867
01.15.1988;8,595
01.18.1988;8,595
01.19.1988;8,628
01.20.1988;8,599
01.21.1988;8,529
01.22.1988;8,477
01.25.1988;8,444
01.26.1988;8,542
01.27.1988;8,37
01.28.1988;8,337
01.29.1988;8,272
02.01.88;8,272
02.02.88;8,185
02.03.88;8,253
02.04.88;8,236
02.05.88;8,12
02.08.88;8,19
02.09.88;8,162
02.10.88;8,107
02.11.88;8,162
02.12.88;8,283
02.15.1988;8,283
02.16.1988;8,311
02.17.1988;8,311
02.18.1988;8,283
02.19.1988;8,283
02.22.1988;8,245
02.23.1988;8,171
02.24.1988;8,175
02.25.1988;8,213
02.26.1988;8,18
02.29.1988;8,152
03.01.88;8,152
03.02.88;8,124
03.03.88;8,124
03.04.88;8,283
03.07.88;8,316
03.08.88;8,335
03.09.88;8,311
03.10.88;8,349
03.11.88;8,292
03.14.1988;8,292
03.15.1988;8,297
03.16.1988;8,363
03.17.1988;8,297
03.18.1988;8,401
03.21.1988;8,458
03.22.1988;8,458
03.23.1988;8,463
03.24.1988;8,502
03.25.1988;8,468
03.28.1988;8,56
03.29.1988;8,545
03.30.1988;8,569
03.31.1988;8,569
04.01.88;8,569
04.04.88;8,667
04.05.88;8,672
04.06.88;8,599
04.07.88;8,599
04.08.88;8,512
04.11.88;8,58
04.12.88;8,565
04.13.1988;8,546
04.14.1988;8,678
04.15.1988;8,742
04.18.1988;8,796
04.19.1988;8,811
04.20.1988;8,826
04.21.1988;8,811
04.22.1988;8,777
04.25.1988;8,767
04.26.1988;8,792
04.27.1988;8,787
04.28.1988;8,852
04.29.1988;8,867
05.02.88;8,867
05.03.88;8,893
05.04.88;8,888
05.05.88;8,908
05.06.88;9,009
05.09.88;9,025
05.10.88;9,065
05.11.88;9,086
05.12.88;9,086
05.13.1988;8,986
05.16.1988;9,014
05.17.1988;9,111
05.18.1988;9,203
05.19.1988;9,189
05.20.1988;9,218
05.23.1988;9,233
05.24.1988;9,218
05.25.1988;9,198
05.26.1988;9,213
05.27.1988;9,242
05.30.1988;9,242
05.31.1988;9,213
06.01.88;9,042
06.02.88;9,066
06.03.88;8,965
06.06.88;8,969
06.07.88;9,022
06.08.88;8,921
06.09.88;8,96
06.10.88;8,926
06.13.1988;8,907
06.14.1988;8,679
06.15.1988;8,707
06.16.1988;8,897
06.17.1988;9,031
06.20.1988;9,017
06.21.1988;9,036
06.22.1988;8,896
06.23.1988;8,882
06.24.1988;8,853
06.27.1988;8,934
06.28.1988;8,867
06.29.1988;8,872
06.30.1988;8,81
07.01.88;8,752
07.04.88;8,752
07.05.88;8,819
07.06.88;8,896
07.07.88;8,934
07.08.88;9,04
07.11.88;9,011
07.12.88;9,079
07.13.1988;9,114
07.14.1988;9,104
07.15.1988;9,07
07.18.1988;9,133
07.19.1988;9,099
07.20.1988;9,104
07.21.1988;9,148
07.22.1988;9,114
07.25.1988;9,089
07.26.1988;9,069
07.27.1988;9,148
07.28.1988;9,163
07.29.1988;9,118
08.01.88;9,065
08.02.88;9,001
08.03.88;9,025
08.04.88;8,982
08.05.88;9,123
08.08.88;9,114
08.09.88;9,203
08.10.88;9,308
08.11.88;9,348
08.12.88;9,348
08.15.1988;9,377
08.16.1988;9,352
08.17.1988;9,377
08.18.1988;9,352
08.19.1988;9,342
08.22.1988;9,371
08.23.1988;9,332
08.24.1988;9,342
08.25.1988;9,411
08.26.1988;9,381
08.29.1988;9,303
08.30.1988;9,302
08.31.1988;9,254
09.01.88;9,253
09.02.88;9,017
09.05.88;9,017
09.06.88;8,993
09.07.88;8,983
09.08.88;8,983
09.09.88;8,902
09.12.88;8,949
09.13.1988;8,94
09.14.1988;8,873
09.15.1988;8,911
09.16.1988;8,93
09.19.1988;8,967
09.20.1988;8,963
09.21.1988;8,929
09.22.1988;8,953
09.23.1988;8,953
09.26.1988;9
09.27.1988;9,029
09.28.1988;9,058
09.29.1988;8,981
09.30.1988;8,857
10.03.88;8,833
10.04.88;8,861
10.05.88;8,861
10.06.88;8,861
10.07.88;8,696
10.10.88;8,696
10.11.88;8,743
10.12.88;8,842
10.13.1988;8,832
10.14.1988;8,808
10.17.1988;8,784
10.18.1988;8,784
10.19.1988;8,817
10.20.1988;8,798
10.21.1988;8,822
10.24.1988;8,822
10.25.1988;8,812
10.26.1988;8,788
10.27.1988;8,717
10.28.1988;8,684
10.31.1988;8,642
11.01.88;8,67
11.02.88;8,722
11.03.88;8,684
11.04.88;8,849
11.07.88;8,911
11.08.88;8,896
11.09.88;8,899
11.10.88;8,899
11.11.88;8,899
11.14.1988;8,913
11.15.1988;8,923
11.16.1988;8,995
11.17.1988;9,053
11.18.1988;9,048
11.21.1988;9,038
11.22.1988;9,072
11.23.1988;9,082
11.24.1988;9,082
11.25.1988;9,17
11.28.1988;9,16
11.29.1988;9,136
11.30.1988;9,062
12.01.88;9,009
12.02.88;9,175
12.05.88;9,126
12.06.88;8,96
12.07.88;8,994
12.08.88;9,013
12.09.88;9,072
12.12.88;9,076
12.13.1988;9,155
