#NAME?;#ERROR;S&P SMALLCAP 600 PURE VALUE - PRICE INDEX
02.01.50;$$ER: E100,INVALID CODE OR EXPRESSION ENTERED;
03.01.50;;
04.01.50;;
05.01.50;;
06.01.50;;
09.01.50;;
10.01.50;;
11.01.50;;
12.01.50;;
13.01.50;;
16.01.50;;
17.01.50;;
18.01.50;;
19.01.50;;
20.01.50;;
23.01.50;;
24.01.50;;
25.01.50;;
26.01.50;;
27.01.50;;
30.01.50;;
31.01.50;;
01.02.50;;
02.02.50;;
03.02.50;;
06.02.50;;
07.02.50;;
08.02.50;;
09.02.50;;
10.02.50;;
13.02.50;;
14.02.50;;
15.02.50;;
16.02.50;;
17.02.50;;
20.02.50;;
21.02.50;;
22.02.50;;
23.02.50;;
24.02.50;;
27.02.50;;
28.02.50;;
01.03.50;;
02.03.50;;
03.03.50;;
06.03.50;;
07.03.50;;
08.03.50;;
09.03.50;;
10.03.50;;
13.03.50;;
14.03.50;;
15.03.50;;
16.03.50;;
17.03.50;;
20.03.50;;
21.03.50;;
22.03.50;;
23.03.50;;
24.03.50;;
27.03.50;;
28.03.50;;
29.03.50;;
30.03.50;;
31.03.50;;
03.04.50;;
04.04.50;;
05.04.50;;
06.04.50;;
07.04.50;;
10.04.50;;
11.04.50;;
12.04.50;;
13.04.50;;
14.04.50;;
17.04.50;;
18.04.50;;
19.04.50;;
20.04.50;;
21.04.50;;
24.04.50;;
25.04.50;;
26.04.50;;
27.04.50;;
28.04.50;;
01.05.50;;
02.05.50;;
03.05.50;;
04.05.50;;
05.05.50;;
08.05.50;;
09.05.50;;
10.05.50;;
11.05.50;;
12.05.50;;
15.05.50;;
16.05.50;;
17.05.50;;
18.05.50;;
19.05.50;;
22.05.50;;
23.05.50;;
24.05.50;;
25.05.50;;
26.05.50;;
29.05.50;;
30.05.50;;
31.05.50;;
01.06.50;;
02.06.50;;
05.06.50;;
06.06.50;;
07.06.50;;
08.06.50;;
09.06.50;;
12.06.50;;
13.06.50;;
14.06.50;;
15.06.50;;
16.06.50;;
19.06.50;;
20.06.50;;
21.06.50;;
22.06.50;;
23.06.50;;
26.06.50;;
27.06.50;;
28.06.50;;
29.06.50;;
30.06.50;;
03.07.50;;
04.07.50;;
05.07.50;;
06.07.50;;
07.07.50;;
10.07.50;;
11.07.50;;
12.07.50;;
13.07.50;;
14.07.50;;
17.07.50;;
18.07.50;;
19.07.50;;
20.07.50;;
21.07.50;;
24.07.50;;
25.07.50;;
26.07.50;;
27.07.50;;
28.07.50;;
31.07.50;;
01.08.50;;
02.08.50;;
03.08.50;;
04.08.50;;
07.08.50;;
08.08.50;;
09.08.50;;
10.08.50;;
11.08.50;;
14.08.50;;
15.08.50;;
16.08.50;;
17.08.50;;
18.08.50;;
21.08.50;;
22.08.50;;
23.08.50;;
24.08.50;;
25.08.50;;
28.08.50;;
29.08.50;;
30.08.50;;
31.08.50;;
01.09.50;;
04.09.50;;
05.09.50;;
06.09.50;;
07.09.50;;
08.09.50;;
11.09.50;;
12.09.50;;
13.09.50;;
14.09.50;;
15.09.50;;
18.09.50;;
19.09.50;;
20.09.50;;
21.09.50;;
22.09.50;;
25.09.50;;
26.09.50;;
27.09.50;;
28.09.50;;
29.09.50;;
02.10.50;;
03.10.50;;
04.10.50;;
05.10.50;;
06.10.50;;
09.10.50;;
10.10.50;;
11.10.50;;
12.10.50;;
13.10.50;;
16.10.50;;
17.10.50;;
18.10.50;;
19.10.50;;
20.10.50;;
23.10.50;;
24.10.50;;
25.10.50;;
26.10.50;;
27.10.50;;
30.10.50;;
31.10.50;;
01.11.50;;
02.11.50;;
03.11.50;;
06.11.50;;
07.11.50;;
08.11.50;;
09.11.50;;
10.11.50;;
13.11.50;;
14.11.50;;
15.11.50;;
16.11.50;;
17.11.50;;
20.11.50;;
21.11.50;;
22.11.50;;
23.11.50;;
24.11.50;;
27.11.50;;
28.11.50;;
29.11.50;;
30.11.50;;
01.12.50;;
04.12.50;;
05.12.50;;
06.12.50;;
07.12.50;;
08.12.50;;
11.12.50;;
12.12.50;;
13.12.50;;
14.12.50;;
15.12.50;;
18.12.50;;
19.12.50;;
20.12.50;;
21.12.50;;
22.12.50;;
25.12.50;;
26.12.50;;
27.12.50;;
28.12.50;;
29.12.50;;
01.01.51;;
02.01.51;;
03.01.51;;
04.01.51;;
05.01.51;;
08.01.51;;
09.01.51;;
10.01.51;;
11.01.51;;
12.01.51;;
15.01.51;;
16.01.51;;
17.01.51;;
18.01.51;;
19.01.51;;
22.01.51;;
23.01.51;;
24.01.51;;
25.01.51;;
26.01.51;;
29.01.51;;
30.01.51;;
31.01.51;;
01.02.51;;
02.02.51;;
05.02.51;;
06.02.51;;
07.02.51;;
08.02.51;;
09.02.51;;
12.02.51;;
13.02.51;;
14.02.51;;
15.02.51;;
16.02.51;;
19.02.51;;
20.02.51;;
21.02.51;;
22.02.51;;
23.02.51;;
26.02.51;;
27.02.51;;
28.02.51;;
01.03.51;;
02.03.51;;
05.03.51;;
06.03.51;;
07.03.51;;
08.03.51;;
09.03.51;;
12.03.51;;
13.03.51;;
14.03.51;;
15.03.51;;
16.03.51;;
19.03.51;;
20.03.51;;
21.03.51;;
22.03.51;;
23.03.51;;
26.03.51;;
27.03.51;;
28.03.51;;
29.03.51;;
30.03.51;;
02.04.51;;
03.04.51;;
04.04.51;;
05.04.51;;
06.04.51;;
09.04.51;;
10.04.51;;
11.04.51;;
12.04.51;;
13.04.51;;
16.04.51;;
17.04.51;;
18.04.51;;
19.04.51;;
20.04.51;;
23.04.51;;
24.04.51;;
25.04.51;;
26.04.51;;
27.04.51;;
30.04.51;;
01.05.51;;
02.05.51;;
03.05.51;;
04.05.51;;
07.05.51;;
08.05.51;;
09.05.51;;
10.05.51;;
11.05.51;;
14.05.51;;
15.05.51;;
16.05.51;;
17.05.51;;
18.05.51;;
21.05.51;;
22.05.51;;
23.05.51;;
24.05.51;;
25.05.51;;
28.05.51;;
29.05.51;;
30.05.51;;
31.05.51;;
01.06.51;;
04.06.51;;
05.06.51;;
06.06.51;;
07.06.51;;
08.06.51;;
11.06.51;;
12.06.51;;
13.06.51;;
14.06.51;;
15.06.51;;
18.06.51;;
19.06.51;;
20.06.51;;
21.06.51;;
22.06.51;;
25.06.51;;
26.06.51;;
27.06.51;;
28.06.51;;
29.06.51;;
02.07.51;;
03.07.51;;
04.07.51;;
05.07.51;;
06.07.51;;
09.07.51;;
10.07.51;;
11.07.51;;
12.07.51;;
13.07.51;;
16.07.51;;
17.07.51;;
18.07.51;;
19.07.51;;
20.07.51;;
23.07.51;;
24.07.51;;
25.07.51;;
26.07.51;;
27.07.51;;
30.07.51;;
31.07.51;;
01.08.51;;
02.08.51;;
03.08.51;;
06.08.51;;
07.08.51;;
08.08.51;;
09.08.51;;
10.08.51;;
13.08.51;;
14.08.51;;
15.08.51;;
16.08.51;;
17.08.51;;
20.08.51;;
21.08.51;;
22.08.51;;
23.08.51;;
24.08.51;;
27.08.51;;
28.08.51;;
29.08.51;;
30.08.51;;
31.08.51;;
03.09.51;;
04.09.51;;
05.09.51;;
06.09.51;;
07.09.51;;
10.09.51;;
